round_form,g,v,block,cache,stride,outer_count,launches,samples,median_ghs,min_ghs,max_ghs,prod_regs,prod_local_bytes,dynamic_smem_bytes,exact_digests
struct,2,8,256,ca,65,1048576,4,7,11.053815,10.337112,11.099214,96,0,33280,12
struct,2,8,192,ca,65,1048576,4,7,11.034274,10.920847,11.036481,96,0,24960,12
struct,2,8,128,ca,65,1048576,4,7,11.015842,10.888527,11.062329,96,0,16640,12
struct,2,8,128,nc,65,1048576,4,7,11.015264,10.729645,11.022211,96,0,16640,12
struct,2,8,64,nc,65,1048576,4,7,11.015264,10.265061,11.049622,96,0,8320,12
struct,2,8,64,ca,65,1048576,4,7,11.014685,10.884231,11.031720,96,0,8320,12
struct,2,8,96,ca,65,1048576,4,7,11.001280,10.417836,11.060578,96,0,12480,12
struct,4,8,128,ca,65,1048576,4,7,10.973419,10.970664,10.991824,96,0,8320,12
struct,4,8,64,ca,65,1048576,4,7,10.971926,10.942843,10.973763,96,0,4160,12
struct,4,8,96,ca,65,1048576,4,7,10.963207,10.554682,11.015148,96,0,6240,12
struct,2,8,128,ca,64,1048576,4,7,10.870917,10.869903,10.874637,96,0,16384,12
struct,1,8,64,ca,65,1048576,4,7,10.837547,10.829599,10.886153,80,0,16640,12
struct,8,8,128,ca,65,1048576,4,7,10.825351,10.575973,10.878924,96,0,4160,12
struct,2,8,128,cg,65,1048576,4,7,10.840236,10.819432,10.842702,96,0,16640,12
struct,2,8,64,ca,64,1048576,4,7,10.829376,10.330696,10.860220,96,0,8192,12
struct,2,8,64,cg,65,1048576,4,7,10.781829,10.362447,11.011562,96,0,8320,12
rotating,2,8,64,ca,65,1048576,4,7,10.723391,10.676006,10.726352,96,0,8320,12
rotating,2,8,128,ca,65,1048576,4,7,10.718677,10.717691,10.723939,96,0,16640,12
struct,2,4,128,ca,65,1048576,4,7,10.712764,10.711122,10.816864,56,0,16640,12
struct,2,4,64,ca,65,1048576,4,7,10.710903,10.653553,10.813183,56,0,8320,12
struct,4,4,256,ca,65,1048576,4,7,10.682532,10.548949,10.784379,56,0,16640,12
struct,4,4,96,ca,64,1048576,4,7,10.628285,10.564359,10.864834,56,0,6144,12
struct,4,4,64,ca,65,1048576,4,7,10.617846,10.269988,10.773299,56,0,4160,12
struct,4,4,128,ca,65,1048576,4,7,10.616664,10.454710,10.723719,56,0,8320,12
struct,8,4,128,ca,65,1048576,4,7,10.593496,10.537605,10.666341,56,0,4160,12
struct,4,4,192,ca,65,1048576,4,7,10.588361,10.587185,10.774849,56,0,12480,12
struct,4,4,96,nc,65,1048576,4,7,10.584513,10.502564,10.719663,56,0,6240,12
struct,4,4,96,ca,65,1048576,4,7,10.559678,10.208497,10.749885,56,0,6240,12
struct,8,4,64,ca,65,1048576,4,7,10.550646,10.537075,10.654528,56,0,2080,12
struct,1,8,96,ca,65,1048576,4,7,10.541524,10.325305,10.589430,80,0,24960,12
struct,8,4,96,ca,65,1048576,4,7,10.538452,9.959311,10.674593,56,0,3120,12
struct,4,4,96,cg,65,1048576,4,7,10.484921,10.150391,10.610110,56,0,6240,12
rotating,4,4,96,ca,65,1048576,4,7,10.432866,10.386054,10.521111,56,0,6240,12
