name	candidates_per_thread	ir_lines	ldg128	ldg128_per_candidate	lop3_asm	lop3_asm_per_candidate	fshl32	fshl32_per_candidate	add32	add32_per_candidate	load_i32	load_i32_per_candidate	store_i32	store_i32_per_candidate	alloca	phi	branch
tailn-g4-v2-c0-ff0	2	3651	20	10.0	298	149.0	0	0.0	1114	557.0	337	168.5	70	35.0	0	5	6
tailn-g4-v4-c0-ff0	4	5871	85	21.25	594	148.5	0	0.0	2128	532.0	341	85.25	70	17.5	0	7	8
tailn-g4-v4-c0-ff1	4	5951	85	21.25	594	148.5	0	0.0	2128	532.0	341	85.25	70	17.5	0	7	8
tailn-g4-v8-c0-ff1	8	10578	150	18.75	1186	148.25	0	0.0	4144	518.0	341	42.625	70	8.75	0	12	12
tailn-g8-v4-c0-ff1	4	5950	85	21.25	594	148.5	0	0.0	2128	532.0	341	85.25	70	17.5	0	8	8
scalar-c0	1	2245	40	40.0	230	230.0	0	0.0	936	936.0	0	0.0	0	0.0	0	12	21
scalar-c1	1	2245	40	40.0	230	230.0	0	0.0	936	936.0	0	0.0	0	0.0	0	12	21
scalar-c2	1	2245	40	40.0	230	230.0	0	0.0	936	936.0	0	0.0	0	0.0	0	12	21
split-head	1	882	0	0.0	70	70.0	0	0.0	291	291.0	0	0.0	5	5.0	0	6	19
split-sv1-c0	1	1410	40	40.0	160	160.0	0	0.0	646	646.0	5	5.0	0	0.0	0	6	3
split-sv2-c0	2	2407	40	20.0	320	160.0	0	0.0	1132	566.0	10	5.0	0	0.0	0	16	5
split-sv4-c0	4	4401	40	10.0	640	160.0	0	0.0	2104	526.0	20	5.0	0	0.0	0	36	9
split-sv8-c0	8	8389	40	5.0	1280	160.0	0	0.0	4048	506.0	40	5.0	0	0.0	0	76	17
split-sv2-c1	2	2407	40	20.0	320	160.0	0	0.0	1132	566.0	10	5.0	0	0.0	0	16	5
split-sv4-c1	4	4401	40	10.0	640	160.0	0	0.0	2104	526.0	20	5.0	0	0.0	0	36	9
fused-sv1-c0-call0	1	2245	40	40.0	230	230.0	0	0.0	936	936.0	0	0.0	0	0.0	0	12	21
fused-sv2-c0-call0	2	4085	40	20.0	460	230.0	0	0.0	1712	856.0	0	0.0	0	0.0	0	28	41
fused-sv4-c0-call0	4	7762	40	10.0	920	230.0	0	0.0	3265	816.25	0	0.0	0	0.0	0	60	81
fused-sv2-c0-call1	2	2395	40	20.0	320	160.0	0	0.0	1132	566.0	0	0.0	0	0.0	0	16	5
fused-sv4-c0-call1	4	4381	40	10.0	640	160.0	0	0.0	2104	526.0	0	0.0	0	0.0	0	36	9
fused-sv8-c0-call0	8	15182	40	5.0	1840	230.0	0	0.0	6344	793.0	0	0.0	0	0.0	0	68	162
fused-sv2-c1-call0	2	4085	40	20.0	460	230.0	0	0.0	1712	856.0	0	0.0	0	0.0	0	28	41
fused-sv4-c1-call0	4	7762	40	10.0	920	230.0	0	0.0	3265	816.25	0	0.0	0	0.0	0	60	81
